,Date time,Solar Energy (kWh),Inverter 5441d581-c9d9-4e00-a7c9-f8a9b45ec456 Energy (kWh),Inverter 5441d581-c9d9-4e00-a7c9-f8a9b45ec456 Lifetime Cumulative Energy (kWh),Inverter ea39caf1-d86f-4368-a7b9-a90a3502b4be Energy (kWh),Inverter ea39caf1-d86f-4368-a7b9-a90a3502b4be Lifetime Cumulative Energy (kWh)
0,2021-11-01 01:00:00-08:00,21.4,10.3,40358.6,11.1,38080.7
1,2021-11-02 01:00:00-08:00,0,0,40358.6,0,38080.7
2,2021-11-03 01:00:00-08:00,0,0,40358.6,0,38080.7
3,2021-11-04 01:00:00-08:00,27,12.9,40371.5,14.1,38094.8
4,2021-11-05 01:00:00-08:00,26.7,12.7,40384.2,14,38108.8
5,2021-11-06 01:00:00-08:00,26.4,12.6,40396.8,13.8,38122.6
6,2021-11-07 01:00:00-08:00,26.3,12.7,40409.5,13.6,38136.2
0,2021-11-08 01:00:00-08:00,26.1,12.5,40422,13.6,38149.8
1,2021-11-09 01:00:00-08:00,24.7,11.9,40433.9,12.8,38162.6
2,2021-11-10 01:00:00-08:00,24.9,11.9,40445.8,12.9,38175.5
3,2021-11-11 01:00:00-08:00,24.6,11.8,40457.7,12.8,38188.4
4,2021-11-12 01:00:00-08:00,24.5,11.7,40469.4,12.8,38201.2
5,2021-11-13 01:00:00-08:00,24.2,11.6,40481,12.6,38213.7
6,2021-11-14 01:00:00-08:00,24,11.5,40492.5,12.5,38226.2
0,2021-11-15 01:00:00-08:00,24,11.5,40504,12.4,38238.6
1,2021-11-16 01:00:00-08:00,19.3,9.2,40513.2,10.2,38248.8
2,2021-11-17 01:00:00-08:00,22.8,10.9,40524.1,11.8,38260.6
3,2021-11-18 01:00:00-08:00,22,10.6,40534.7,11.4,38272
4,2021-11-19 01:00:00-08:00,20.4,9.9,40544.6,10.5,38282.5
5,2021-11-20 01:00:00-08:00,21.3,10.2,40554.8,11,38293.5
6,2021-11-21 01:00:00-08:00,22.8,10.8,40565.6,12,38305.5
0,2021-11-22 01:00:00-08:00,21.2,10.1,40575.7,11.1,38316.6
1,2021-11-23 01:00:00-08:00,17.1,8.1,40583.8,9,38325.6
2,2021-11-24 01:00:00-08:00,22.4,10.6,40594.4,11.8,38337.4
3,2021-11-25 01:00:00-08:00,23,10.9,40605.3,12.2,38349.6
4,2021-11-26 01:00:00-08:00,22.4,10.6,40615.8,11.8,38361.3
5,2021-11-27 01:00:00-08:00,21.8,10.3,40626.1,11.5,38372.8
6,2021-11-28 01:00:00-08:00,21.1,10,40636.1,11.1,38383.9
0,2021-11-29 01:00:00-08:00,20.7,9.8,40645.9,10.9,38394.9
1,2021-11-30 01:00:00-08:00,20.4,9.7,40655.5,10.8,38405.6
2,2021-12-01 01:00:00-08:00,19.7,9.4,40664.9,10.3,38416
3,2021-12-02 01:00:00-08:00,19.6,9.3,40674.2,10.3,38426.3
4,2021-12-03 01:00:00-08:00,19.4,9.2,40683.4,10.2,38436.5
5,2021-12-04 01:00:00-08:00,18.8,8.9,40692.3,9.8,38446.3
6,2021-12-05 01:00:00-08:00,19.4,9.2,40701.5,10.2,38456.5
0,2021-12-06 01:00:00-08:00,19.2,9.3,40710.7,9.9,38466.5
1,2021-12-07 01:00:00-08:00,5,2.5,40713.2,2.5,38469
2,2021-12-08 01:00:00-08:00,18.7,8.9,40722.1,9.8,38478.8
3,2021-12-09 01:00:00-08:00,7.3,3.5,40725.6,3.7,38482.6
4,2021-12-10 01:00:00-08:00,13.6,6.8,40732.4,6.8,38489.4
5,2021-12-11 01:00:00-08:00,19.4,9.2,40741.6,10.1,38499.6
6,2021-12-12 01:00:00-08:00,19.3,9.2,40750.8,10.1,38509.6
0,2021-12-13 01:00:00-08:00,17,8.3,40759.1,8.6,38518.3
1,2021-12-14 01:00:00-08:00,10.9,5.2,40764.3,5.8,38524
2,2021-12-15 01:00:00-08:00,21.1,10.2,40774.5,10.9,38534.9
3,2021-12-16 01:00:00-08:00,20.9,10.2,40784.7,10.7,38545.7
4,2021-12-17 01:00:00-08:00,21.5,10.4,40795,11.2,38556.8
5,2021-12-18 01:00:00-08:00,21.5,10.4,40805.4,11.1,38567.9
6,2021-12-19 01:00:00-08:00,21.3,10.3,40815.7,11,38578.9
0,2021-12-20 01:00:00-08:00,20.7,10.2,40825.9,10.5,38589.4
1,2021-12-21 01:00:00-08:00,13.6,6.6,40832.5,7.1,38596.5
2,2021-12-22 01:00:00-08:00,16.6,8.2,40840.7,8.3,38604.9
3,2021-12-23 01:00:00-08:00,11.9,5.9,40846.6,6,38610.8
4,2021-12-24 01:00:00-08:00,11.4,5.6,40852.2,5.7,38616.6
5,2021-12-25 01:00:00-08:00,9.1,0,40852.2,9.1,38625.7
6,2021-12-26 01:00:00-08:00,11.1,0,40852.2,11.1,38636.7
0,2021-12-27 01:00:00-08:00,7.7,0,40852.2,7.7,38644.4
1,2021-12-28 01:00:00-08:00,7.5,0,40852.2,7.5,38651.9
2,2021-12-29 01:00:00-08:00,9.7,0,40852.2,9.7,38661.6
3,2021-12-30 01:00:00-08:00,9.7,0,40852.2,9.7,38671.4
4,2021-12-31 01:00:00-08:00,10.4,0,40852.2,10.4,38681.7
5,2022-01-01 01:00:00-08:00,0,0,40852.2,0,38681.7
6,2022-01-02 01:00:00-08:00,0,0,40852.2,0,38681.7
0,2022-01-03 01:00:00-08:00,0,0,40852.2,0,38716.4
1,2022-01-04 01:00:00-08:00,11.1,0,40852.2,11.1,38727.4
2,2022-01-05 01:00:00-08:00,11,0,40852.2,11,38738.5
3,2022-01-06 01:00:00-08:00,10.9,0,40852.2,10.9,38749.4
4,2022-01-07 01:00:00-08:00,11.2,0,40852.2,11.2,38760.5
5,2022-01-08 01:00:00-08:00,10.9,0,40852.2,10.9,38771.4
6,2022-01-09 01:00:00-08:00,11.3,0,40852.2,11.3,38782.7
0,2022-01-10 01:00:00-08:00,8.8,0,40852.2,8.8,38791.4
1,2022-01-11 01:00:00-08:00,11.5,0,40852.2,11.5,38803
2,2022-01-12 01:00:00-08:00,9.3,0,40852.2,9.3,38812.2
3,2022-01-13 01:00:00-08:00,8,0,40852.2,8,38820.2
4,2022-01-14 01:00:00-08:00,11.3,0,40852.2,11.3,38831.5
5,2022-01-15 01:00:00-08:00,6.8,0,40852.2,6.8,38838.3
6,2022-01-16 01:00:00-08:00,9.8,0,40852.2,9.8,38848
0,2022-01-17 01:00:00-08:00,9.3,0,40852.2,9.3,38857.3
1,2022-01-18 01:00:00-08:00,20.7,9.1,40861.3,11.7,38869
2,2022-01-19 01:00:00-08:00,22.7,10.8,40872,11.9,38880.9
3,2022-01-20 01:00:00-08:00,23.6,11.2,40883.2,12.4,38893.3
4,2022-01-21 01:00:00-08:00,22.5,10.8,40894,11.7,38905
5,2022-01-22 01:00:00-08:00,24,11.6,40905.6,12.4,38917.4
6,2022-01-23 01:00:00-08:00,24.1,11.5,40917.1,12.7,38930.1
0,2022-01-24 01:00:00-08:00,24.2,11.6,40928.7,12.6,38942.7
1,2022-01-25 01:00:00-08:00,23.7,11.4,40940,12.3,38955
2,2022-01-26 01:00:00-08:00,24.9,12,40952,12.9,38967.9
3,2022-01-27 01:00:00-08:00,25.9,12.4,40964.4,13.6,38981.4
4,2022-01-28 01:00:00-08:00,22.5,10.9,40975.3,11.6,38993
5,2022-01-29 01:00:00-08:00,13.4,6.7,40982,6.7,38999.7
6,2022-01-30 01:00:00-08:00,26.1,12.5,40994.5,13.6,39013.3
0,2022-01-31 01:00:00-08:00,19.6,9.6,41004.1,10,39023.3
1,2022-02-01 01:00:00-08:00,15.9,7.9,41011.9,8,39031.3
