Date,Solar Energy (kWh),Inverter 1 Energy (kWh),Inverter 1 Lifetime Cumulative Energy (kWh),Inverter 2 Energy (kWh),Inverter 2 Lifetime Cumulative Energy (kWh),Daylength in decimal hours
2021-11-17,22.8,10.9,40524.1,11.8,38260.6,8.39
2021-11-18,22.0,10.6,40534.7,11.4,38272.0,8.370000000000001
2021-11-19,20.4,9.9,40544.6,10.5,38282.5,8.34
2021-11-20,21.3,10.2,40554.8,11.0,38293.5,8.32
2021-11-21,22.8,10.8,40565.6,12.0,38305.5,8.3
2021-11-22,21.2,10.1,40575.7,11.1,38316.6,8.280000000000001
2021-11-23,17.1,8.1,40583.8,9.0,38325.6,8.26
2021-11-24,22.4,10.6,40594.4,11.8,38337.4,8.24
2021-11-25,23.0,10.9,40605.3,12.2,38349.6,8.22
2021-11-26,22.4,10.6,40615.8,11.8,38361.3,8.200000000000001
2021-11-27,21.8,10.3,40626.1,11.5,38372.8,8.18
2021-11-28,21.1,10.0,40636.1,11.1,38383.9,8.16
2021-11-29,20.7,9.8,40645.9,10.9,38394.9,8.15
2021-11-30,20.4,9.7,40655.5,10.8,38405.6,8.13
2021-12-01,19.7,9.4,40664.9,10.3,38416.0,8.110000000000001
2021-12-02,19.6,9.3,40674.2,10.3,38426.3,8.1
2021-12-03,19.4,9.2,40683.4,10.2,38436.5,8.08
2021-12-04,18.8,8.9,40692.3,9.8,38446.3,8.07
2021-12-05,19.4,9.2,40701.5,10.2,38456.5,8.06
2021-12-06,19.2,9.3,40710.7,9.9,38466.5,8.05
2021-12-07,5.0,2.5,40713.2,2.5,38469.0,8.030000000000001
2021-12-08,18.7,8.9,40722.1,9.8,38478.8,8.020000000000001
2021-12-09,7.3,3.5,40725.6,3.7,38482.6,8.01
2021-12-10,13.6,6.8,40732.4,6.8,38489.4,8.01
2021-12-11,19.4,9.2,40741.6,10.1,38499.6,8.0
2021-12-12,19.3,9.2,40750.8,10.1,38509.6,7.99
2021-12-13,17.0,8.3,40759.1,8.6,38518.3,7.98
2021-12-14,10.9,5.2,40764.3,5.8,38524.0,7.98
2021-12-15,21.1,10.2,40774.5,10.9,38534.9,7.970000000000001
2021-12-16,20.9,10.2,40784.7,10.7,38545.7,7.970000000000001
2021-12-17,21.5,10.4,40795.0,11.2,38556.8,7.970000000000001
2021-12-18,21.5,10.4,40805.4,11.1,38567.9,7.970000000000001
2021-12-19,21.3,10.3,40815.7,11.0,38578.9,7.960000000000001
2021-12-20,20.7,10.2,40825.9,10.5,38589.4,7.960000000000001
2021-12-21,13.6,6.6,40832.5,7.1,38596.5,7.960000000000001
2021-12-22,16.6,8.2,40840.7,8.3,38604.9,7.970000000000001
2021-12-23,11.9,5.9,40846.6,6.0,38610.8,7.970000000000001
2021-12-24,11.4,5.6,40852.2,5.7,38616.6,7.970000000000001
2021-12-25,9.1,0.0,40852.2,9.1,38625.7,7.970000000000001
2021-12-26,11.1,0.0,40852.2,11.1,38636.7,7.98
2021-12-27,7.7,0.0,40852.2,7.7,38644.4,7.98
2021-12-28,7.5,0.0,40852.2,7.5,38651.9,7.99
2021-12-29,9.7,0.0,40852.2,9.7,38661.6,8.0
2021-12-30,9.7,0.0,40852.2,9.7,38671.4,8.01
2021-12-31,10.4,0.0,40852.2,10.4,38681.7,8.020000000000001
2022-01-01,0.0,0.0,40852.2,0.0,38681.7,8.020000000000001
2022-01-02,0.0,0.0,40852.2,0.0,38681.7,8.040000000000001
2022-01-03,0.0,0.0,40852.2,0.0,38716.4,8.05
