Date,Daylength in decimal hours
2021-11-17,10.33
2021-11-18,10.31
2021-11-19,10.28
2021-11-20,10.26
2021-11-21,10.24
2021-11-22,10.22
2021-11-23,10.2
2021-11-24,10.18
2021-11-25,10.16
2021-11-26,10.14
2021-11-27,10.12
2021-11-28,10.1
2021-11-29,10.09
2021-11-30,10.07
2021-12-01,10.05
2021-12-02,10.04
2021-12-03,10.02
2021-12-04,10.01
2021-12-05,10.0
2021-12-06,9.99
2021-12-07,9.97
2021-12-08,9.96
2021-12-09,9.95
2021-12-10,9.95
2021-12-11,9.94
2021-12-12,9.93
2021-12-13,9.92
2021-12-14,9.92
2021-12-15,9.91
2021-12-16,9.91
2021-12-17,9.91
2021-12-18,9.91
2021-12-19,9.9
2021-12-20,9.9
2021-12-21,9.9
2021-12-22,9.91
2021-12-23,9.91
2021-12-24,9.91
2021-12-25,9.91
2021-12-26,9.92
2021-12-27,9.92
2021-12-28,9.93
2021-12-29,9.94
2021-12-30,9.95
2021-12-31,9.96
2022-01-01,9.96
2022-01-02,9.98
2022-01-03,9.99
2022-01-04,10.0
2022-01-05,10.01
2022-01-06,10.03
2022-01-07,10.04
2022-01-08,10.05
2022-01-09,10.07
2022-01-10,10.09
2022-01-11,10.1
2022-01-12,10.12
2022-01-13,10.14
2022-01-14,10.16
2022-01-15,10.18
2022-01-16,10.2
2022-01-17,10.22
2022-01-18,10.24
2022-01-19,10.27
2022-01-20,10.29
2022-01-21,10.31
2022-01-22,10.34
2022-01-23,10.36
2022-01-24,10.38
2022-01-25,10.41
2022-01-26,10.44
2022-01-27,10.46
2022-01-28,10.49
2022-01-29,10.52
2022-01-30,10.54
2022-01-31,10.57
2022-02-01,10.6
2022-02-02,10.63
2022-02-03,10.66
2022-02-04,10.69
2022-02-05,10.72
2022-02-06,10.75
2022-02-07,10.78
2022-02-08,10.81
2022-02-09,10.84
2022-02-10,10.87
2022-02-11,10.9
2022-02-12,10.94
2022-02-13,10.97
2022-02-14,11.0
2022-02-15,11.03
2022-02-16,11.07
2022-02-17,11.1
2022-02-18,11.13
2022-02-19,11.16
2022-02-20,11.2
2022-02-21,11.23
2022-02-22,11.27
2022-02-23,11.3
2022-02-24,11.33
2022-02-25,11.37
2022-02-26,11.4
2022-02-27,11.44
2022-02-28,11.47
2022-03-01,11.51
2022-03-02,11.54
2022-03-03,11.57
2022-03-04,11.61
2022-03-05,11.64
2022-03-06,11.68
2022-03-07,11.71
2022-03-08,11.75
2022-03-09,11.78
2022-03-10,11.82
2022-03-11,11.86
2022-03-12,11.89
2022-03-13,11.92
2022-03-14,11.96
2022-03-15,11.99
2022-03-16,12.03
2022-03-17,12.07
2022-03-18,12.1
2022-03-19,12.14
2022-03-20,12.17
2022-03-21,12.21
2022-03-22,12.24
2022-03-23,12.28
2022-03-24,12.31
2022-03-25,12.35
2022-03-26,12.38
2022-03-27,12.42
2022-03-28,12.45
2022-03-29,12.49
2022-03-30,12.52
2022-03-31,12.56
2022-04-01,12.59
2022-04-02,12.63
2022-04-03,12.66
2022-04-04,12.7
2022-04-05,12.73
2022-04-06,12.76
2022-04-07,12.8
2022-04-08,12.83
2022-04-09,12.87
2022-04-10,12.9
2022-04-11,12.94
2022-04-12,12.97
2022-04-13,13.0
2022-04-14,13.04
2022-04-15,13.07
2022-04-16,13.1
2022-04-17,13.13
2022-04-18,13.17
2022-04-19,13.2
2022-04-20,13.23
2022-04-21,13.26
